"Quarter","RepossessionsLondon","RepossessionsExclLondon"
"2003-Q1",293,556
"2003-Q2",331,543
"2003-Q3",282,599
"2003-Q4",246,496
"2004-Q1",281,554
"2004-Q2",270,474
"2004-Q3",302,552
"2004-Q4",280,551
"2005-Q1",332,585
"2005-Q2",310,555
"2005-Q3",320,636
"2005-Q4",272,579
"2006-Q1",347,596
"2006-Q2",296,617
"2006-Q3",338,668
"2006-Q4",292,662
"2007-Q1",293,741
"2007-Q2",318,654
"2007-Q3",350,736
"2007-Q4",309,711
"2008-Q1",333,713
"2008-Q2",316,692
"2008-Q3",406,741
"2008-Q4",394,646
"2009-Q1",408,797
"2009-Q2",327,637
"2009-Q3",461,744
"2009-Q4",403,679
"2010-Q1",504,793
"2010-Q2",435,854
"2010-Q3",466,870
"2010-Q4",440,758
"2011-Q1",553,845
"2011-Q2",513,832
"2011-Q3",627,948
"2011-Q4",623,724
"2012-Q1",664,832
"2012-Q2",582,818
"2012-Q3",660,871
"2012-Q4",681,833
"2013-Q1",592,885
"2013-Q2",673,839
"2013-Q3",662,808
"2013-Q4",676,759
"2014-Q1",659,832
"2014-Q2",612,845
"2014-Q3",697,983
"2014-Q4",667,865
"2015-Q1",671,906
"2015-Q2",563,896
"2015-Q3",584,935
"2015-Q4",499,828
"2016-Q1",583,973
"2016-Q2",574,883
"2016-Q3",512,921
"2016-Q4",551,819
"2017-Q1",525,1006
"2017-Q2",572,933
"2017-Q3",527,972
"2017-Q4",508,1029
"2018-Q1",470,1074
"2018-Q2",585,1113
"2018-Q3",599,1168
"2018-Q4",559,1118
"2019-Q1",562,1217
"2019-Q2",516,1145
"2019-Q3",511,1277
"2019-Q4",616,1204
"2020-Q1",535,1178
